Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
HL,0.5,1,0.5,Rx0Tx0,0.000298433,
HL,0.5,1,0.5,Rx0Tx0,0.000884306,
HL,0.5,1,0.5,Rx0Tx0,0.000141597,
HL,0.5,1,0.5,Rx0Tx0,0.00028543,
HL,0.5,1,0.5,Rx0Tx0,0.000646026,
HL,0.5,1,0.5,Rx0Tx0,0.000158311,
HL,0.5,1,0.5,Rx0Tx0,0.000191594,
HL,0.5,1,0.5,Rx0Tx0,0.000261336,
HL,0.5,1,0.5,Rx0Tx0,0.000214743,
HL,0.5,1,0.5,Rx0Tx0,0.000697895,
HL,0.5,1,0.5,Rx0Tx0,0.000604598,
HL,0.5,1,0.5,Rx0Tx0,0.000448607,
HL,0.5,1,0.5,Rx0Tx0,0.000683669,
HL,0.5,1,0.5,Rx0Tx0,0.000124581,
HL,0.5,1,0.5,Rx0Tx0,4.97617e-05,
HL,0.5,1,0.5,Rx0Tx0,0.000767805,
HL,0.5,1,0.5,Rx0Tx0,0.00113428,
HL,0.5,1,0.5,Rx0Tx0,0.000109019,
HL,0.5,1,0.5,Rx0Tx0,0.00133746,
HL,0.5,1,0.5,Rx0Tx0,0.000283771,
HL,0.5,1,0.5,Rx0Tx0,2.06868e-05,
HL,0.5,1,0.5,Rx0Tx0,0.00191094,
HL,0.5,1,0.5,Rx0Tx0,0.000362363,
HL,0.5,1,0.5,Rx0Tx0,0.000536323,
HL,0.5,1,0.5,Rx0Tx0,0.00160976,
HL,0.5,1,0.5,Rx0Tx0,0.000382798,
HL,0.5,1,0.5,Rx0Tx0,0.00059819,
HL,0.5,1,0.5,Rx0Tx0,0.000589851,
HL,0.5,1,0.5,Rx0Tx0,0.000333711,
HL,0.5,1,0.5,Rx0Tx0,0.00101705,
HL,0.5,1,0.5,Rx0Tx0,0.0003737,
HL,0.5,1,0.5,Rx0Tx0,0.000369592,
HL,0.5,1,0.5,Rx0Tx0,0.000204546,
HL,0.5,1,0.5,Rx0Tx0,0.00143793,
HL,0.5,1,0.5,Rx0Tx0,0.000614411,
HL,0.5,1,0.5,Rx0Tx0,0.00139104,
HL,0.5,1,0.5,Rx0Tx0,0.00137935,
HL,0.5,1,0.5,Rx0Tx0,0.000273619,
HL,0.5,1,0.5,Rx0Tx0,0.000992187,
HL,0.5,1,0.5,Rx0Tx0,0.000315628,
HL,0.5,1,0.5,Rx0Tx0,0.00227521,
HL,0.5,1,0.5,Rx0Tx0,0.00156142,
HL,0.5,1,0.5,Rx0Tx0,0.00316843,
HL,0.5,1,0.5,Rx0Tx0,0.00126044,
HL,0.5,1,0.5,Rx0Tx0,0.00064399,
HL,0.5,1,0.5,Rx0Tx0,0.000341804,
HL,0.5,1,0.5,Rx0Tx0,0.00166753,
HL,0.5,1,0.5,Rx0Tx0,0.00211946,
HL,0.5,1,0.5,Rx0Tx0,0.00123909,
HL,0.5,1,0.5,Rx0Tx0,0.0012398,
HL,0.5,1,0.5,Rx0Tx0,0.000699766,
HL,0.5,1,0.5,Rx0Tx0,0.000809217,
HL,0.5,1,0.5,Rx0Tx0,0.00130161,
HL,0.5,1,0.5,Rx0Tx0,0.00232484,
HL,0.5,1,0.5,Rx0Tx0,0.00226196,
HL,0.5,1,0.5,Rx0Tx0,0.00038325,
HL,0.5,1,0.5,Rx0Tx0,0.000346352,
HL,0.5,1,0.5,Rx0Tx0,0.000845978,
HL,0.5,1,0.5,Rx0Tx0,0.00110007,
HL,0.5,1,0.5,Rx0Tx0,0.00135228,
HL,0.5,1,0.5,Rx0Tx0,0.00141621,
HL,0.5,1,0.5,Rx0Tx0,0.0013043,
HL,0.5,1,0.5,Rx0Tx0,0.000249141,
HL,0.5,1,0.5,Rx0Tx0,9.61849e-05,
HL,0.5,1,0.5,Rx0Tx0,0.000499596,
HL,0.5,1,0.5,Rx0Tx0,0.000765569,
HL,0.5,1,0.5,Rx0Tx0,0.000481572,
HL,0.5,1,0.5,Rx0Tx0,0.00134361,
HL,0.5,1,0.5,Rx0Tx0,0.00124798,
HL,0.5,1,0.5,Rx0Tx0,0.00224654,
HL,0.5,1,0.5,Rx0Tx0,0.00449248,
HL,0.5,1,0.5,Rx0Tx0,0.00358396,
HL,0.5,1,0.5,Rx0Tx0,0.00795356,
HL,0.5,1,0.5,Rx0Tx0,0.00185093,
HL,0.5,1,0.5,Rx0Tx0,0.00184376,
HL,0.5,1,0.5,Rx0Tx0,0.00141594,
HL,0.5,1,0.5,Rx0Tx0,0.000687037,
HL,0.5,1,0.5,Rx0Tx0,0.00450738,
