Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0224119,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0105892,
VL,0.6,1,0.06,Rx0,0.0137272,
VL,0.6,1,0.06,Rx0,0.00181338,
VL,0.6,1,0.06,Rx0,0.0323136,
VL,0.6,1,0.06,Rx0,0.00299635,
VL,0.6,1,0.06,Rx0,0.0160417,
VL,0.6,1,0.06,Rx0,0.0206639,
VL,0.6,1,0.06,Rx0,0.0511013,
VL,0.6,1,0.06,Rx0,0.0248641,
VL,0.6,1,0.06,Rx0,0.0274238,
VL,0.6,1,0.06,Rx0,0.00223045,
VL,0.6,1,0.06,Rx0,0.0481193,
VL,0.6,1,0.06,Rx0,0.0248221,
VL,0.6,1,0.06,Rx0,0.0227696,
VL,0.6,1,0.06,Rx0,0.00708033,
VL,0.6,1,0.06,Rx0,0.00198719,
VL,0.6,1,0.06,Rx0,0.0486708,
VL,0.6,1,0.06,Rx0,0.00136972,
VL,0.6,1,0.06,Rx0,0.00383812,
VL,0.6,1,0.06,Rx0,0.00760504,
VL,0.6,1,0.06,Rx0,0.0134161,
VL,0.6,1,0.06,Rx0,0.0460959,
VL,0.6,1,0.06,Rx0,4.56498e-06,
VL,0.6,1,0.06,Rx0,0.0589161,
VL,0.6,1,0.06,Rx0,0.0160479,
VL,0.6,1,0.06,Rx0,0.0239856,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00317519,
VL,0.6,1,0.06,Rx0,0.00570536,
VL,0.6,1,0.06,Rx0,0.0286848,
VL,0.6,1,0.06,Rx0,0.0161389,
VL,0.6,1,0.06,Rx0,0.0085888,
VL,0.6,1,0.06,Rx0,0.00089391,
VL,0.6,1,0.06,Rx0,0.00969734,
VL,0.6,1,0.06,Rx0,0.000676889,
VL,0.6,1,0.06,Rx0,0.0106505,
VL,0.6,1,0.06,Rx0,0.0252093,
VL,0.6,1,0.06,Rx0,0.000771307,
VL,0.6,1,0.06,Rx0,0.00726131,
VL,0.6,1,0.06,Rx0,0.00735765,
VL,0.6,1,0.06,Rx0,0.0409588,
VL,0.6,1,0.06,Rx0,0.00027006,
VL,0.6,1,0.06,Rx0,0.004248,
VL,0.6,1,0.06,Rx0,0.0622842,
VL,0.6,1,0.06,Rx0,0.000171411,
VL,0.6,1,0.06,Rx0,0.00225935,
VL,0.6,1,0.06,Rx0,0.00138846,
VL,0.6,1,0.06,Rx0,0.0156518,
VL,0.6,1,0.06,Rx0,0.0613026,
VL,0.6,1,0.06,Rx0,0.0160176,
VL,0.6,1,0.06,Rx0,0.0154492,
VL,0.6,1,0.06,Rx0,0.0125916,
VL,0.6,1,0.06,Rx0,0.036276,
VL,0.6,1,0.06,Rx0,0.0460717,
VL,0.6,1,0.06,Rx0,0.0119592,
VL,0.6,1,0.06,Rx0,0.0208685,
VL,0.6,1,0.06,Rx0,0.00886202,
VL,0.6,1,0.06,Rx0,0.00238793,
VL,0.6,1,0.06,Rx0,0.0175638,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0135037,
VL,0.6,1,0.06,Rx0,0.0141857,
VL,0.6,1,0.06,Rx0,0.00149865,
VL,0.6,1,0.06,Rx0,0.0315534,
VL,0.6,1,0.06,Rx0,0.017535,
VL,0.6,1,0.06,Rx0,0.0265159,
VL,0.6,1,0.06,Rx0,0.00254223,
VL,0.6,1,0.06,Rx0,0.0315719,
VL,0.6,1,0.06,Rx0,0.00560093,
VL,0.6,1,0.06,Rx0,0.0322202,
